user_id,product_id,predicted_rating,product_name,brand,product_type,price,rating,reviews,similarity_source
1,5012,4.933686256408691,Enterprise-wide exuding groupware,Head & Shoulders,Sản phẩm giảm thâm,172.85,5.0,949,
1,6623,4.923877239227295,Monitored multi-state attitude,Physiogel,Sản phẩm làm sạch cơ thể,129.8,4.8,101,
1,389,4.909153938293457,Managed bandwidth-monitored superstructure,Burt's Bees,Thiết bị điện tử,146.19,4.7,365,
1,8133,4.901844501495361,Exclusive real-time project,Eucerin,Kem chống nắng hóa học,267.99,4.8,28,
1,452,4.8694891929626465,Grass-roots analyzing moratorium,Bobbi Brown,Máy sấy tóc,81.97,5.0,898,
1,9295,4.847376346588135,Polarized value-added definition,Burt's Bees,Tinh chất dưỡng da,399.69,5.0,222,
1,2378,4.845592021942139,Progressive zero-defect leverage,Too Faced,Đồ ăn nhanh,459.8,4.9,726,
1,3227,4.84114933013916,Public-key uniform open architecture,Kiehl's,Thực phẩm chức năng,38.33,5.0,928,
1,568,4.841131687164307,Public-key bottom-line frame,Zalora,Sản phẩm bảo vệ môi trường,77.31,5.0,936,
1,3160,4.835941791534424,Expanded zero administration functionalities,Samsung,Máy lọc không khí,68.93,5.0,470,
1,1823,4.648231526864743,Assimilated foreground focus group,Maybelline,Kem chống nắng hóa học,315.14,4.9,147,similar_product
1,4815,4.604791348784153,Polarized optimal focus group,Bioré,Tinh chất dưỡng da,477.08,4.7,262,similar_product
1,9767,4.5845103118779855,Public-key asynchronous application,Bioré,Máy lọc không khí,23.03,4.4,637,similar_product
1,3153,4.567357763430361,Horizontal responsive knowledge user,Dr. Jart+,Máy sấy tóc,125.91,4.7,712,similar_product
1,5802,4.53859465473629,Vision-oriented 24/7 service-desk,Fenty Beauty,Máy lọc không khí,93.53,3.9,394,similar_product
1,8400,4.525571495756242,Ameliorated multi-tasking hub,Freeman,Sản phẩm bảo vệ môi trường,33.67,4.8,645,similar_product
1,2518,4.524683004515586,Assimilated client-driven budgetary management,Dove,Sản phẩm bảo vệ môi trường,55.69,4.7,645,similar_product
1,8863,4.50225049107094,Team-oriented discrete middleware,Huda Beauty,Thực phẩm chức năng,161.73,4.9,834,similar_product
1,9437,4.476816282983145,Ergonomic non-volatile access,Pampers,Sản phẩm bảo vệ môi trường,78.42,4.5,711,similar_product
1,9685,4.470971927598346,Quality-focused composite definition,Neutrogena,Sản phẩm làm sạch cơ thể,112.14,3.8,149,similar_product
1,2557,4.4354879607425355,Right-sized leadingedge budgetary management,Olay Regenerist,Thiết bị điện tử,143.16,4.2,564,similar_product
1,5904,4.396624909216994,Integrated holistic database,Olay Regenerist,Thực phẩm chức năng,218.21,5.0,839,similar_product
1,7222,4.396184093810052,Stand-alone foreground benchmark,Dove Men+Care,Đồ ăn nhanh,491.46,4.9,573,similar_product
1,916,4.394009551817913,Stand-alone content-based help-desk,Sunsilk,Tinh chất dưỡng da,453.13,5.0,438,similar_product
1,5355,4.393183752927479,Future-proofed scalable frame,Shiseido,Máy sấy tóc,43.12,4.0,905,similar_product
1,8743,4.385212900648366,Multi-lateral reciprocal migration,LANEIGE,Sản phẩm giảm thâm,129.11,4.9,872,similar_product
1,5828,4.377358992971956,Ergonomic content-based system engine,Clinique for Men,Máy sấy tóc,162.73,4.7,623,similar_product
1,6602,4.360665603135377,User-friendly exuding complexity,Garnier,Tinh chất dưỡng da,304.83,4.8,300,similar_product
1,4069,4.358860118571643,Organic non-volatile support,Dr. Jart+,Sản phẩm giảm thâm,137.73,4.0,928,similar_product
1,9028,4.347284237258544,Business-focused content-based structure,The Inkey List,Máy lọc không khí,198.26,4.6,526,similar_product
1,1480,4.344103873843734,Innovative 24/7 knowledgebase,Huda Beauty,Thiết bị điện tử,146.44,5.0,74,similar_product
1,277,4.342034696816162,Function-based bifurcated challenge,MAC Cosmetics,Sản phẩm làm sạch cơ thể,95.85,3.9,87,similar_product
1,9714,4.321484647642467,Secured high-level migration,Neutrogena,Sản phẩm giảm thâm,310.78,4.6,985,similar_product
1,8687,4.296326446703111,Grass-roots multi-state conglomeration,Sunsilk,Đồ ăn nhanh,341.81,4.9,765,similar_product
1,8124,4.253566443428004,Multi-channeled human-resource methodology,Shiseido,Thực phẩm chức năng,38.36,4.0,846,similar_product
1,3942,4.240622040577759,Profit-focused holistic portal,O.P.I.,Kem chống nắng hóa học,413.74,4.7,369,similar_product
1,5963,4.236487137569357,Optional demand-driven monitoring,Essie,Sản phẩm làm sạch cơ thể,121.89,4.1,290,similar_product
1,7869,4.216906095141101,Business-focused intangible paradigm,Sony,Kem chống nắng hóa học,495.66,4.5,62,similar_product
1,4158,4.198933987529023,Vision-oriented mobile architecture,Olay,Thiết bị điện tử,164.22,4.3,565,similar_product
1,5151,4.128296349184739,Realigned incremental flexibility,Olay Regenerist,Đồ ăn nhanh,480.05,4.6,478,similar_product
2,8133,5.091092109680176,Exclusive real-time project,Eucerin,Kem chống nắng hóa học,267.99,4.8,28,
2,9295,5.05653715133667,Polarized value-added definition,Burt's Bees,Tinh chất dưỡng da,399.69,5.0,222,
2,452,5.052335262298584,Grass-roots analyzing moratorium,Bobbi Brown,Máy sấy tóc,81.97,5.0,898,
2,2378,5.01602029800415,Progressive zero-defect leverage,Too Faced,Đồ ăn nhanh,459.8,4.9,726,
2,5674,5.007294178009033,Down-sized demand-driven definition,Kose,Thực phẩm sạch,255.37,4.9,726,
2,1206,5.000766277313232,Programmable demand-driven conglomeration,Eucerin,Bút kẻ mày,359.18,5.0,505,
2,6623,4.994201183319092,Monitored multi-state attitude,Physiogel,Sản phẩm làm sạch cơ thể,129.8,4.8,101,
2,2412,4.988015651702881,Progressive clear-thinking secured line,Freeman,Đồ dùng học tập,24.47,5.0,290,
2,3227,4.978387355804443,Public-key uniform open architecture,Kiehl's,Thực phẩm chức năng,38.33,5.0,928,
2,5151,4.745841493340311,Realigned incremental flexibility,Olay Regenerist,Đồ ăn nhanh,480.05,4.6,478,similar_product
2,916,4.741783997877984,Stand-alone content-based help-desk,Sunsilk,Tinh chất dưỡng da,453.13,5.0,438,similar_product
2,3058,4.73545311664421,Business-focused fault-tolerant Internet solution,Etude House,Bút kẻ mày,416.19,4.4,437,similar_product
2,5096,4.727286314810126,Assimilated maximized alliance,Avène,Đồ dùng học tập,124.6,4.9,478,similar_product
2,5828,4.709085454628637,Ergonomic content-based system engine,Clinique for Men,Máy sấy tóc,162.73,4.7,623,similar_product
2,277,4.687055962380737,Function-based bifurcated challenge,MAC Cosmetics,Sản phẩm làm sạch cơ thể,95.85,3.9,87,similar_product
2,4815,4.680159448718577,Polarized optimal focus group,Bioré,Tinh chất dưỡng da,477.08,4.7,262,similar_product
2,9685,4.677314533255539,Quality-focused composite definition,Neutrogena,Sản phẩm làm sạch cơ thể,112.14,3.8,149,similar_product
2,3942,4.665009728704718,Profit-focused holistic portal,O.P.I.,Kem chống nắng hóa học,413.74,4.7,369,similar_product
2,7869,4.616969494757037,Business-focused intangible paradigm,Sony,Kem chống nắng hóa học,495.66,4.5,62,similar_product
2,9686,4.606382093282545,Down-sized zero-defect open architecture,TIGI,Thực phẩm sạch,241.06,4.6,869,similar_product
2,5355,4.590323373978043,Future-proofed scalable frame,Shiseido,Máy sấy tóc,43.12,4.0,905,similar_product
2,8863,4.58059728455426,Team-oriented discrete middleware,Huda Beauty,Thực phẩm chức năng,161.73,4.9,834,similar_product
2,5963,4.565977478886677,Optional demand-driven monitoring,Essie,Sản phẩm làm sạch cơ thể,121.89,4.1,290,similar_product
2,9089,4.54716062788636,Mandatory maximized parallelism,SNAILWHITE,Đồ dùng học tập,90.58,4.4,274,similar_product
2,8124,4.535117888158059,Multi-channeled human-resource methodology,Shiseido,Thực phẩm chức năng,38.36,4.0,846,similar_product
2,535,4.533967474783634,Realigned hybrid support,Nestle,Thực phẩm sạch,267.75,4.8,811,similar_product
2,8687,4.501119717485167,Grass-roots multi-state conglomeration,Sunsilk,Đồ ăn nhanh,341.81,4.9,765,similar_product
2,6602,4.489387626441836,User-friendly exuding complexity,Garnier,Tinh chất dưỡng da,304.83,4.8,300,similar_product
2,1823,4.480352537981381,Assimilated foreground focus group,Maybelline,Kem chống nắng hóa học,315.14,4.9,147,similar_product
2,5002,4.47040681505437,Realigned bandwidth-monitored website,SK-II,Bút kẻ mày,446.75,4.9,409,similar_product
2,3153,4.4680204108044075,Horizontal responsive knowledge user,Dr. Jart+,Máy sấy tóc,125.91,4.7,712,similar_product
2,5904,4.4044389281154155,Integrated holistic database,Olay Regenerist,Thực phẩm chức năng,218.21,5.0,839,similar_product
2,5091,4.374451764969342,Re-engineered asynchronous hub,Nike,Đồ dùng học tập,150.21,5.0,338,similar_product
2,2001,4.350045845599594,Extended grid-enabled conglomeration,Dior,Bút kẻ mày,229.43,4.9,581,similar_product
2,2606,4.316934520008861,Profit-focused bandwidth-monitored matrix,NARS,Tinh chất dưỡng da,281.34,4.8,127,similar_product
2,7064,4.2997225060149775,Intuitive client-driven initiative,Eucerin,Tinh chất dưỡng da,279.38,4.0,277,similar_product
2,7222,4.273415436887912,Stand-alone foreground benchmark,Dove Men+Care,Đồ ăn nhanh,491.46,4.9,573,similar_product
2,1016,4.266070383769934,User-centric hybrid Internet solution,Biore,Thực phẩm sạch,109.53,4.9,685,similar_product
3,9430,5.525394916534424,Seamless high-level groupware,Sally Hansen,Thiết bị gia đình,309.02,4.9,138,
3,649,5.48532247543335,Expanded bottom-line access,SkinCeuticals,Mỹ phẩm tự nhiên,180.91,4.5,194,
3,379,5.483508110046387,Object-based user-facing budgetary management,Kose,Đồ uống,291.15,4.8,876,
3,8444,5.471897125244141,Devolved demand-driven alliance,Zara,Kem chống nắng vật lý,372.3,4.8,495,
3,6623,5.4643659591674805,Monitored multi-state attitude,Physiogel,Sản phẩm làm sạch cơ thể,129.8,4.8,101,
3,70,5.463872909545898,Cloned maximized installation,Jojoba Oil,Sản phẩm bảo vệ môi trường,454.59,4.9,227,
3,8164,5.455464839935303,Organized directional knowledge user,Bioré,Sản phẩm chống gàu,191.31,5.0,843,
3,9826,5.454383373260498,Fully-configurable tangible installation,Huda Beauty,Sản phẩm chăm sóc da mặt,285.71,5.0,467,
3,8133,5.450935363769531,Exclusive real-time project,Eucerin,Kem chống nắng hóa học,267.99,4.8,28,
3,3320,5.450429439544678,Re-engineered local functionalities,Nivea,Kem mắt,123.07,5.0,208,
3,7780,5.190383220823793,Fundamental grid-enabled open system,Sunsilk,Sản phẩm bảo vệ môi trường,365.04,4.9,281,similar_product
3,7596,5.179751368050735,Enhanced multimedia process improvement,Tony Moly,Sản phẩm chăm sóc da mặt,347.52,4.8,264,similar_product
3,6173,5.173075143117627,Switchable mobile frame,Yves Rocher,Kem chống nắng vật lý,349.99,4.7,688,similar_product
3,5447,5.163322402724784,Quality-focused value-added alliance,The Inkey List,Sản phẩm chống gàu,176.86,4.9,660,similar_product
3,8421,5.13866297676911,Fundamental coherent algorithm,P&G,Mỹ phẩm tự nhiên,97.07,4.3,333,similar_product
3,3942,5.133702353277527,Profit-focused holistic portal,O.P.I.,Kem chống nắng hóa học,413.74,4.7,369,similar_product
3,5263,5.121806857142357,Down-sized zero tolerance collaboration,Colgate,Thiết bị gia đình,277.62,4.0,303,similar_product
3,1823,5.113621647419043,Assimilated foreground focus group,Maybelline,Kem chống nắng hóa học,315.14,4.9,147,similar_product
3,4228,5.053173035464964,Phased zero tolerance leverage,Wella,Sản phẩm chăm sóc da mặt,275.4,4.6,460,similar_product
3,1474,5.039692282147087,Total heuristic model,LG,Sản phẩm chăm sóc da mặt,211.23,4.8,312,similar_product
3,9685,5.007262440455332,Quality-focused composite definition,Neutrogena,Sản phẩm làm sạch cơ thể,112.14,3.8,149,similar_product
3,9707,4.997452666063844,Ameliorated encompassing migration,L'Oreal Elvive,Mỹ phẩm tự nhiên,141.52,4.3,386,similar_product
3,6778,4.987795013996145,Digitized stable firmware,Fanta,Sản phẩm chống gàu,242.4,4.6,690,similar_product
3,128,4.98588276228439,Synergized multimedia projection,Fanta,Sản phẩm bảo vệ môi trường,412.39,4.5,107,similar_product
3,7869,4.955979835537743,Business-focused intangible paradigm,Sony,Kem chống nắng hóa học,495.66,4.5,62,similar_product
3,5752,4.9507364708978825,Open-architected systematic hierarchy,Colgate,Đồ uống,243.34,4.2,970,similar_product
3,3216,4.935385519492896,Customer-focused 3rdgeneration artificial intelligence,Coty,Kem chống nắng vật lý,318.42,4.5,331,similar_product
3,136,4.931863054074866,Horizontal multi-tasking emulation,L'Oréal,Kem mắt,28.7,4.4,191,similar_product
3,273,4.8811078944600155,Configurable multi-tasking orchestration,Tatcha,Thiết bị gia đình,377.06,4.1,148,similar_product
3,277,4.844554309926966,Function-based bifurcated challenge,MAC Cosmetics,Sản phẩm làm sạch cơ thể,95.85,3.9,87,similar_product
3,6698,4.834416600910525,Assimilated radical Graphic Interface,The Body Shop Tea Tree,Kem chống nắng vật lý,434.58,4.5,602,similar_product
3,2544,4.819117530484918,Decentralized even-keeled time-frame,Anastasia Beverly Hills,Thiết bị gia đình,341.8,4.0,289,similar_product
3,3114,4.807115591072478,Open-source heuristic attitude,Dior,Đồ uống,264.18,3.6,867,similar_product
3,9970,4.80686789866585,Cross-group tangible portal,Burt's Bees,Sản phẩm chống gàu,182.78,4.4,776,similar_product
3,5963,4.78537089946822,Optional demand-driven monitoring,Essie,Sản phẩm làm sạch cơ thể,121.89,4.1,290,similar_product
3,9899,4.77667248269829,Networked hybrid analyzer,Aveda,Mỹ phẩm tự nhiên,226.23,4.8,233,similar_product
3,6299,4.749634673000437,Inverse multi-tasking standardization,Physiogel,Sản phẩm bảo vệ môi trường,446.62,4.6,13,similar_product
3,9726,4.744284954821045,Quality-focused empowering infrastructure,Sally Hansen,Kem mắt,141.04,4.4,421,similar_product
3,8201,4.711625290311092,Virtual neutral orchestration,Lancôme,Kem mắt,84.32,4.5,200,similar_product
3,9157,4.681852977105077,Versatile attitude-oriented encoding,Chanel,Đồ uống,128.99,4.6,826,similar_product
4,7602,4.779247760772705,Right-sized next generation orchestration,Anastasia Beverly Hills,Phụ kiện thời trang,393.57,5.0,864,
4,8133,4.76173734664917,Exclusive real-time project,Eucerin,Kem chống nắng hóa học,267.99,4.8,28,
4,8164,4.738560676574707,Organized directional knowledge user,Bioré,Sản phẩm chống gàu,191.31,5.0,843,
4,6623,4.714184761047363,Monitored multi-state attitude,Physiogel,Sản phẩm làm sạch cơ thể,129.8,4.8,101,
4,452,4.709927082061768,Grass-roots analyzing moratorium,Bobbi Brown,Máy sấy tóc,81.97,5.0,898,
4,5012,4.695860862731934,Enterprise-wide exuding groupware,Head & Shoulders,Sản phẩm giảm thâm,172.85,5.0,949,
4,6726,4.67184591293335,Streamlined zero-defect secured line,L'Oréal Professionnel,Kem chống nắng hóa học,427.76,4.9,773,
4,3160,4.6691203117370605,Expanded zero administration functionalities,Samsung,Máy lọc không khí,68.93,5.0,470,
4,8094,4.666226863861084,Seamless object-oriented flexibility,Mason Jar,Văn phòng phẩm,324.62,4.9,68,
4,2849,4.664079666137695,Decentralized global website,Pampers,Bảng phấn mắt,410.33,4.9,853,
4,9970,4.482516494748342,Cross-group tangible portal,Burt's Bees,Sản phẩm chống gàu,182.78,4.4,776,similar_product
4,9685,4.466941884814702,Quality-focused composite definition,Neutrogena,Sản phẩm làm sạch cơ thể,112.14,3.8,149,similar_product
4,582,4.452199725195323,Balanced object-oriented instruction set,Cosrx,Phụ kiện thời trang,231.62,5.0,983,similar_product
4,836,4.396923768890253,Monitored heuristic system engine,Nivea Men,Phụ kiện thời trang,409.69,4.5,480,similar_product
